id,Image,Chockolate_type,Name,Date,Weight,Pack_type
22,f4327f48f947c09cb926fe9ec91be84476b9e9224e55b77c618b1c871384b838.jpg,Молочный шоколад,"""Break""",Годен до марта 2019,Вес - 85 г,Упаковка - флоу-пак
23,3fcab9cac2e9461d5688cca42a410b362fb62e48491b8d7c9535a4e1bc8404a1.jpg,Шоколад,"""Ванильный""",NaN,Вес - 100 г,Упаковка - обертка
24,13ec7c86307acfd9fb2cdd3bf52954175d517c7c1ac8cf225250040ca19aab9f.jpg,Сладкая плитка (пористый черный десерт),"""Аэро ШОК""",NaN,Вес - 55 г,Упаковка - конверт
25,24f802d92e3134effda9895a194f4b911c94587cc804e1d7e8bc925252a31913.jpg,Горький шоколад,"""Оригинальный горький""",NaN,Вес - 100 г,Упаковка - конверт
26,c0914b7d060985c4cfad9760f7532363f91bd98911556198d903daa8de12ff9b.jpg,Молочный шоколад,"""Slim dreams""",Годен до октября 2014,Вес - 100 г,Упаковка - прямоугольная коробка
27,75b7a8f03ec3427f818169f1083f21f8c2ff0f78232341d79f3bfc53e25e7e02.jpg,Молочный шоколад с миндалем,"""ION"" (название условное)",Годен до октября 2010,Вес - 30 г,Упаковка - конверт
28,38767563066d815953dcb8ec5c13b624ed151e64eeace4efa3f014633d761506.jpg,Молочный шоколад с карамелизированным миндалем и солью,"""Pingo Doce"" (название условное)",Годен до августа 2016,Вес - 200 г,Упаковка - прямоугольная коробка
29,a31ac2be647f8f4fa567e6bc8bfb9a3148ec877c678094fe2ed01540d94296bc.jpg,Шоколад,"""Ванильный""",NaN,Вес - 100 г,Упаковка - обертка
30,530e1cd8588f95d67a81f3e20fb661a31d0e49b295c48760833cd95409d4d388.jpg,Молочный шоколад с арахисом,"""Alicja""",NaN,Вес - 90 г,Упаковка - конверт
31,10152782c46ac708f5f096c882facd81e744e302ab656f7e98523cc6603dec7f.jpg,Горький шоколад с миндалем,"""Горький с миндалем""",NaN,Вес - 100 г,Упаковка - конверт
32,47b2982b020f61a257d6472bec42245ebb93d7c9fe05a6d9fc6d18735113e6d0.jpg,Молочный шоколад с кусочками вафли,"""Keyfince""",Годен до марта 2018,Вес - 27 г,Упаковка - конверт
33,95e62666065475115cbf8e08546b9fb158c430a10a3b86d2b1f52b4fe881f248.jpg,Молочный шоколад с миндалем,"""ION"" (название условное)",Годен до мая 2015,Вес - 100 г,Упаковка - конверт
34,97501da733f5e27b0b158e353545058fd81dab08829c3593bff220a804bdc3c1.jpg,Шоколад,"""Ванильный""",NaN,Вес - 100 г,Упаковка - обертка
35,e9e8724522ac8e1317173e22ad7debb0d3e0854b3672ab73c535997575b52a20.jpg,Молочный шоколад с арахисом,"""Solo""",Годен до октября 2014,Вес - 100 г,Упаковка - конверт
36,4a03e52f3767741d66928d078e49b6d5fc33e1e62fef12d58b0e747ada8c5fa5.jpg,Горький шоколад с фундуком,"""Горький с фундуком""",NaN,Вес - 100 г,Упаковка - конверт
37,7f7d609699b67b5402fcb37aa00792a7c7b45d6189b739346099d0b9bcbdc082.jpg,Молочный шоколад с миндалем,"""ION"" (название условное)",Годен до июня 2019,Вес - 100 г,Упаковка - конверт
38,b2e516d406e295bdb010e5c28eded9836ea815c42b5b6bfce9cfb946657e234e.jpg,Шоколад,"""Детский""",NaN,Вес - 50 г,Упаковка - обертка
39,6719658bb8c7c86e1d10c423a0214382bc4e39a99bdbc59665e01a4db71e219a.jpg,Молочный шоколад с арахисом и изюмом,"""Solo""",Годен до октября 2014,Вес - 100 г,Упаковка - конверт
40,619ac3ab9c87fe1bc71bfa50967ae0728dcfccad8d263f70b34beb7df55d71ec.jpg,Молочный шоколад с цельным миндалем,"""Break""",Годен до февраля 2019,Вес - 85 г,Упаковка - флоу-пак
41,4d19301ab7d28439fc240075cc0d407a0a8c1b6f9edab4452bff128846f10276.jpg,Молочный шоколад с изюмом и орехом (арахисом),"""Alicja""",NaN,Вес - 90 г,Упаковка - конверт
42,ae09d82eb6534fd4f540c45c87baba137dd99c6b0f0ea3742b41eaa207a55c8d.jpg,Шоколад,"""Детский""",NaN,Вес - 100 г,Упаковка - обертка
43,47aec99097facb35a8267d70dae1f1ce0aa9958d247ea37bb2a47b81243d90d0.jpg,Шоколад с арахисом и виноградом,"""Hilal""  (название условное)",NaN,Вес - 100 г,Упаковка - флоу-пак
44,d9927f0843c758bd964b3f611d8408cf18e55515a957ad6e26a1dcd16dfd085d.jpg,"Молочный шоколад с миндалем, кусочками апельсина и  кусочками лимона","""Break""",Годен до января 2019,Вес - 85 г,Упаковка - флоу-пак
45,dd02a22c096a95ad9a34f1bae284198d215f9f01959983e42b2ba91ff1505746.jpg,Темный шоколад с апельсиновым вкусом,"""Darkflow"" (название условное)",NaN,Вес - 100 г,Упаковка - флоу-пак
46,12f4a07d4c412e532cd0de63e66411fb3d71414098883f3c5d551f8de4a6b7ba.jpg,Молочный шоколад с кусками лесного ореха,"""Solo""",Годен до октября 2014,Вес - 100 г,Упаковка - конверт
47,476d778f2f96a97b412dd5628e0e6c6eee87c83972e557f77c13d727b7049e3d.jpg,Шоколад с фундуком,"""Hilal""  (название условное)",NaN,Вес - 50 г,Упаковка - флоу-пак
48,6cc1df7d975f60814b8a3bd76ca5dadf285d67aff75a6671be0e33f0f4a40b89.jpg,Шоколад,"""Детский""",NaN,Вес - 100 г,Упаковка - обертка
49,3dd83e402abfa3f7060c4b7f838c447e2097deb3d6aad0f313cbcb7e7c2a4900.jpg,Молочный шоколад с цельным фундуком,"""Break""",Годен до июля 2019,Вес - 85 г,Упаковка - флоу-пак
50,ea6bbb041625d698bfaa50371e38cea07054734035a2303ba4e5fc3749ba7d87.jpg,Шоколад,"""Жар-птица""",NaN,Вес - 100 г,Упаковка - обертка
51,c849d9c75715d1d9c7a8b335e4b638d04d53e2c3bc67c81acb3e681cf35335c2.jpg,Молочный шоколад с миндалем и малиной,"""Slim dreams""",Годен до октября 2014,Вес - 100 г,Упаковка - прямоугольная коробка
52,4f053efa206690509f1c8b49448fd29187fa05212a03d113e2b6815c98c37fc1.jpg,Шоколад,"""Дорожный""",NaN,Вес - 50 г,Упаковка - обертка
53,011c68ce893606b54fa262cfd4684dc1a0cf0c216d60885a604a575ddbddc196.jpg,Шоколад,"""Мишка""",NaN,Вес - 50 г,Упаковка - обертка
54,e3f795536008d6596db73f5841792aa20f4487bce4e700ba3384ee66fda32e48.jpg,Молочная кондитерская плитка,"""Dinastia""",NaN,Вес - 85 г,Упаковка - конверт
55,c97914044094bb82d05539d5fd1481d63437a84bcb63335f81f0cf61b263f7a3.jpg,Молочный шоколад с цельным фундуком,"""Break""",Годен до сентября 1995 (?),Вес - 100 г,Упаковка - флоу-пак
56,e06e0423df7b6f2dcad7c86d6ba5fd7995d71d9cac53ae80547ad7f1f144e2cd.jpg,Молочный шоколад с начинкой со вкусом ириса,"""Solo""",Годен до октября 2014,Вес - 100 г,Упаковка - конверт
57,435d23d72fdaac0c03285fafbe998a8ce501b132b5177d66c7a3cfc852d59466.jpg,Молочный шоколад,"""Золушка""",NaN,Вес - 100 г,Упаковка - обертка
58,67c68f28c57031e60e0d7ac268bf40bba1f445ae979d6718f7d5d11df69e0027.jpg,Шоколад,"""Особый""",NaN,Вес - 100 г,Упаковка - обертка
59,ad1508a22b4c652f469c9235766d61b99c58d2982328ccda2ff0b7f5a2eae708.jpg,"Молочный шоколад с изюмом, миндалем и фундуком","""Break""",Годен до августа 2010,Вес - 85 г,Упаковка - флоу-пак
60,2816aebc07c091d4b32595665f9ce0ef4db82f417ed4bed343da95914e62eb1c.jpg,Молочный шоколад с начинкой со вкусом клубники,"""Solo""",Годен до октября 2014,Вес - 100 г,Упаковка - конверт
61,b95b25d80a06ffa874580f63f4e936b1be30cbbd5329e37ed6877d328e998bdf.jpg,Шоколад,"""Сказки Пушкина""",NaN,Вес - 18 г,Упаковка - обертка
62,2c44bb6bdaeabdae5505272bc49ef6e8b951a4cfb7eec785f356bf84fb543745.jpg,Молочный шоколад,"""Nestle classic""",Годен до октября 2018,Вес - 35 г,Упаковка - конверт
63,281465593f2f4304ca667afd06b09f40df79bb67bb1189b208c1e853b6c89501.jpg,Шоколад,"""Улыбка""",NaN,Вес - 100 г,Упаковка - обертка
64,00c9e3a02a2862019e49c99eb682bee2ba78fdb78c0511796af3a73154179b14.jpg,"Молочный шоколад с изюмом, миндалем и фундуком","""Break""",Годен до февраля 2015,Вес - 85 г,Упаковка - флоу-пак
65,e786ebd7093ae3e6fddc84bc0e418430ad3c342e6b92532ff22948ff9c915fa6.jpg,Шоколад,"""Чайка""",NaN,Вес - 50 г,Упаковка - обертка
66,525d1963da75c492355ee6710760970bccd48f8814769c38443c9184819ad083.jpg,ГОрький шоколад,"""Alicja""",NaN,Вес - 90 г,Упаковка - конверт
67,163225eeb7fa016385ad252b718e4442aebd8e04c0470cc750ea031e089e1ce5.jpg,Шоколад,"""Улыбка""",NaN,Вес - 100 г,Упаковка - обертка
68,ada45f3fd05ee9692e8f03cdd9d4932d7543c6936c8aa7c115734cdbef735849.jpg,Молочный шоколад,"""Nestle 1927""",Годен до декабря 2018,Вес - 70 г,Упаковка - конверт
69,bb2573a0553e03d88115775e4f0182f1fcc7bc9b374250d7663118b83588694c.jpg,Горький молочный шоколад,"""Bitter Milk"" (название условное)",Годен до октября 2002,Вес - 85 г,Упаковка - конверт
70,0b41ec37f56dc98aed4e7c825f1836b20370ee1bcf1b028285d872bc67046c75.jpg,Горький шоколад 60 %,"""Solo""",Годен до октября 2014,Вес - 100 г,Упаковка - конверт
71,8e81f5115007c96f4ba847219b897b46349414c5a65386cec5a7df490442048d.jpg,Полусладкий шоколад с миндалем,"""ION mini"" (название условное)",Годен до марта 2011,Вес - 9 г,Упаковка - конверт
72,35f5431b046c3dc59dd5e5c2c7f5a661d4dc06e8ff8eda4bf7d8e2a045388470.jpg,Горький шоколад (55 % какао),"""Nestle classic""",Годен до апреля 2018,Вес - 40 г,Упаковка - конверт
73,11faa08a6422bd656c87b9c1c08fea97e1101430d15d5bd845f12fb09a1316e5.jpg,Шоколад,"""Улыбка""",NaN,Вес - 100 г,Упаковка - обертка
74,d44ab396b354ba975c1300c7259d77f2e4a0ee571a35a896c782470b0ae24544.jpg,Плитка кондитерская молочная,"""Гав-Гав""",NaN,Вес - 20 г,Упаковка - конверт
75,c05db5cefded03a60c6cf4c5c3b289017f104886a7492e5c27616edba554c204.jpg,Горький шоколад 70 %,"""Slim dreams""",Годен до октября 2014,Вес - 100 г,Упаковка - прямоугольная коробка
76,59fa42bcd2f708466c03b18a16455611b465e7729ccf1e47419cbebeb427513b.jpg,Полусладкий шоколад с цельным миндалем,"""ION"" (название условное)",Годен до сентября 2010,Вес - 100 г,Упаковка - конверт
77,0f0c0339270b121d27b8b3823fa025dd43521837d53601f26e2ba96ebccaaf22.jpg,Горький шоколад,"""Nestle 1927""",Годен до марта 2019,Вес - 70 г,Упаковка - конверт
78,88edbb022a73e1163898a7dec641922a850fe2cd573ecefd3b5c7bda539613dd.jpg,Плитка кондитерская молочная,"""Гав-Гав""",NaN,Вес - 20 г,Упаковка - конверт
79,9a55dba69e6b3bb66e4319e786342a2a44f824265f9a68411bcdef18b5f5790b.jpg,Шоколад,"""Улыбка""",NaN,Вес - 100 г,Упаковка - обертка
80,e724fd4a9b3dde2f3f9cd0d31232722f21bcebdfbd6408e0357749e9ff905430.jpg,Горький шоколад с лесными орехами и кусками апельсина,"""Slim dreams""",Годен до октября 2014,Вес - 100 г,Упаковка - прямоугольная коробка
81,5c31e136f4bb570d7db599c1900a1935ef022984092ceca10b73ba4a3c20ee1a.jpg,Темный кулинарный шоколад,"""7000""",Годен до июля 2011,Вес - 100 г,Упаковка - конверт
82,0f6bdab24f842e2df53aa728581df468fc2ed5196ddaafd7b87ba8265c6e9e97.jpg,Горький шоколад,"""Nestle 1927""",Годен до августа 2015,Вес - 80 г,Упаковка - конверт
83,61a27a85375708d54fe08ea5dcb3a54f02a7ef406a9822f0f17af06b12909811.jpg,Плитка кондитерская молочная,"""Славянские традиции""",NaN,Вес - 20 г,Упаковка - конверт
84,bee3e2e5bec536fcbffea2f41f8db6eafb55d2cd524bfc42bcc37096373872cb.jpg,Шоколад,"""Цирк""",NaN,Вес - 50 г,Упаковка - обертка
85,142af00868b667a815838f5131080100f7a316817484b145390612d09bcdbf06.jpg,Белый шоколад,"""Solo""",Годен до октября 2014,Вес - 100 г,Упаковка - конверт
86,f7d68384bdf29411a71dbdf93705dd5dca99fb2f9fa0711eb719bae696db084a.jpg,Темный шоколад с цельным миндалем,"""ION"" (название условное)",Годен до марта 2011,Вес - 100 г,Упаковка - конверт
87,70b3bf098f9a453f4c9689e2e4e3d247dda16e2cad21d041c752cd4e26146354.jpg,Горький шоколад с апельсином,"""Nestle classic""",Годен до сентября 2019,Вес - 70 г,Упаковка - конверт
88,5dd4bc3ad1d751928dc4899681c7aea7afbc6a5f9f41498091d749db8b5d4a04.jpg,Плитка кондитерская молочная,"""Славянские традиции""",NaN,Вес - 60 г,Упаковка - конверт
89,b3cac7671a1c5cb6f8e9b83721652202e98eb1ef114fffd6e974df268fc2bd41.jpg,Белый шоколад,"""Nestle classic""",Годен до сентября 2018,Вес - 35 г,Упаковка - конверт
90,ca323174afa996ed4a89ad9f69b9025acb7436f346adf47a23c8ec228a554c14.jpg,Темный шоколад с цельным миндалем,"""ION"" (название условное)",Годен до июля 2019,Вес - 100 г,Упаковка - конверт
91,b46642cae63a702840286a073537973dc2d9cdb07aab622ee42513e62c845a34.jpg,Плитка кондитерская молочная,"""Славянские традиции""",NaN,Вес - 60 г,Упаковка - конверт
92,dfc04cb0dd990979d0105812f435a8a54125d0d0d02aae50df92471224627673.jpg,Молочный шоколад с арахисом,"""Czapp"" (название условное)",Годен до октября 1996,Вес - 100 г,Упаковка - конверт
93,85f48e35d3b1c47bc312bb2cde3ead78374fda0e4ecd5bd5fe38d20e2a69f07f.jpg,Белый шоколад с миндалем,"""Nestle classic""",Годен до февраля 2019,Вес - 70 г,Упаковка - конверт
94,68d72332fb69ff2ab7dddab78f3ecfd73e66659861bf4df7d96b7aec77db47b8.jpg,Плитка кондитерская молочная,"""Славянские традиции""",NaN,Вес - 80 г,Упаковка - конверт
95,3d5a69611697dc1d0127647543319637979d46df1fff932c6f28c564118a05b6.jpg,Темный шоколад с цельным миндалем,"""ION"" (название условное)",Годен до августа 2019,Вес - 100 г,Упаковка - конверт
96,fc44073a91a63a123d2fc03d95988596ab8553df9587a61b6b87738f5c222866.jpg,Горький шоколад с кофейной начинкой,"""Gorzka""  (название условное)",Годен до августа 2008,Вес - 90 г,Упаковка - конверт
97,e6d134c47468418135ac7c50afd1050b4d3ef6cdbf1cf52726ea3c5ffde496b2.jpg,Молочный шоколад с дробленым лесным орехом,"""Czapp"" (название условное)",Годен до апреля 1994,Вес - 100 г,Упаковка - конверт
98,6e45e65bdf7471870cb4e501b311d84ba8ea68c642a110563902d4bee5b24498.jpg,Плитка кондитерская молочная с арахисом,"""Золотой символ""",NaN,Вес - 80 г,Упаковка - конверт
99,067dc3deae33edce9d589ec3a4a2a672ae4bfc9d13797fd467678641bdcb375a.jpg,Молочный шоколад с дробленым лесным орехом,"""Czapp"" (название условное)",Годен до сентября 1996,Вес - 100 г,Упаковка - конверт
100,64221259ce429e3a231e9af35ffd5d337463646444129a0d244ef4fc7d14243d.jpg,кондитерская молочная плитка,"""Golf""  (название условное)",NaN,Вес - 11 г,Упаковка - обертка
101,89375c1406f55fbadfe7f42210d344ebceb7032944a21a92c6483859520d989c.jpg,Шоколад кулинарный,"""KOYBEPTOYPA""",Годен до июня 2011,Вес - 125 г,Упаковка - обертка
102,df5a230e44223915ba86f6afc6c61cf134e57d02cd8c59e582a658acf97f159f.jpg,Плитка кондитерская молочная с арахисом,"""Золотой символ""",NaN,Вес - 80 г,Упаковка - конверт
103,55c1fec0e2d743c31e372cb9b36d2049b8b49f1c9875385222ca46da7321a01a.jpg,Молоочный шоколад с рисом,"""1""  (?)  (название очень условное)",Годен до октября 2011,Вес - 100 г,Упаковка - конверт
104,1a95839229a871491ec6206515b59b3eb06f4582395928023137a3955cc7aa14.jpg,Молочный шоколад,"""Ulker""  (название условное)",Годен до декабря 2019,Вес - 32 г,Упаковка - конверт
105,8b31cc4f1a5420f1e5acfb8dddd03e067b5eff523956d3190d2de2cdaaede6a4.jpg,Молочный шоколад с дробленым лесным орехом,"""Czapp"" (название условное)",NaN,Вес - 100 г,Упаковка - конверт
106,054744e30d2ba6686a6679f818a2e9fa520f803950150bb082008c98d5d63734.jpg,Плитка кондитерская молочная с арахисом,"""Золотой символ""",NaN,Вес - 80 г,Упаковка - конверт
107,bd3c83d5d428ab9edef51d604eeec66c59a69512ae64e6d8df8ba8cdfd265ca9.jpg,Молочный шоколад,"""Ulker""  (название условное)",Годен до сентября 2018,Вес - 70 г,Упаковка - конверт
108,41f685a529c4b4bc8c57308db563faadfe6a4dab02b810d87b8aceb68a0f778e.jpg,Молочный шоколад с изюмом и дробленым лесным орехом,"""Czapp"" (название условное)",NaN,Вес - 100 г,Упаковка - конверт
109,6c1d7271054d8bf2dd58eb5a8d97ceb28386d0c9d645d13c20973dbd01b885cd.jpg,Плитка кондитерская молочная с ореховым ароматом,"""Славянские традиции""",NaN,Вес - 20 г,Упаковка - обертка
110,ad2b97c3f3caa9680195a381f2885f9a0d8262887c56e6594fccd4a074d851a4.jpg,"Молочный шоколад с шоколадным печеньем, шоколадным кремом и карамелизированым фундуком","""Lacta Lov'it"" (название условное)",Годен до марта 2015,Вес - 100 г,Упаковка - флоу-пак
111,2c9753801d398bc6b9ff01d596444f81af622396a9ca8ca08f1e0432cf2eaec4.jpg,Молочный шоколад,"""Ulker""  (название условное)",NaN,Вес - 80 г,Упаковка - конверт
112,4d23bc761d19cac7972cfa8756b050b7de89e8c40faa424ac0457d2cf94e50ee.jpg,Плитка кондитерская молочная с ореховым ароматом,"""Славянские традиции""",NaN,Вес - 20 г,Упаковка - обертка
113,3523c247c32192fe7f91aacb0b4ca8b8f8ad8a020742e52cfa50addf40137c24.jpg,Молочный шоколад с абрикосово-кремовой начинкой,"""Czapp"" (название условное)",NaN,Вес - 100 г,Упаковка - конверт
114,af6ec04339aa976424bab4f7dc6facc2a449411c1beb7136405a6cc0c1c6fff9.jpg,Горький шоколад,"""Pavlidis""",Годен до октября 2011,Вес - 65 г,Упаковка - конверт
115,8eee823c6bab8984757c382b431bd7bf4868424c991e112d6d137ada77092e4c.jpg,Плитка кондитерская молочная с ореховым ароматом,"""Славянские традиции""",NaN,Вес - 20 г,Упаковка - конверт
116,40fcce1194e782b4a18063f70615030c53bb10381e114c47396b7280e10f76d8.jpg,Молочный шоколад,"""Ulker""  (название условное)",Годен до августа 2015,Вес - 80 г,Упаковка - конверт
117,ef6c2d85765cd2b4455c24501f897f4e8ffc8d5042548ad8238373943ad8f3bc.jpg,Молочный шоколад с абрикосово-кремовой начинкой,"""Czapp"" (название условное)",Годен до июля 1997,Вес - 100 г,Упаковка - конверт
118,9dfca7c912adf9a3ee456760e0c3728537b13227d877e37ee81a84cc3dd010d8.jpg,Горький шоколад 70 % какао,"""Pavlidis""",Годен до мая 2015,Вес - 100 г,Упаковка - флоу-пак
119,0b89a72b312a9e8ce08f59de2cd6925e3a5b7df28cd625e725a68e898d3c20bb.jpg,Плитка кондитерская молочная с ореховым ароматом,"""Славянские традиции""",NaN,Вес - 20 г,Упаковка - конверт
120,a136343e758eed7230b7ba9de5cfb5d57dc6b8387cc41f627b21461bd0e25709.jpg,Молочный шоколад с фисташками,"""Ulker""  (название условное)",Годен до ареля 2020,Вес - 70 г,Упаковка - конверт
121,cf267c7cc96979e21f9219ac84517562d4a90280bc99222293101e55b1a01893.jpg,Молочный шоколад с алкогольной начинкой амаретто,"""Czapp de Luxe"" (название условное)",Годен до ноября 1997,Вес - 100 г,Упаковка - конверт
122,4d6b554267aecfa31cb2479f17265ca94d9bb8b275a4e3939edd79440fa72f3b.jpg,Плитка кондитерская молочная с ореховым ароматом,"""Славянские традиции""",NaN,Вес - 20 г,Упаковка - конверт
123,e8b728c9844f381c9be9c30fae9d0f34579231311f3fa4382dddd3625365b21d.jpg,Молочный шоколад,"""Bensdorp""",Годен до января 2013,Вес - 100 г,Упаковка - флоу-пак
124,0b25f06cfa7ac8d227068deda6415504347a7dbb0acec9260b8deaa350f94679.jpg,Горький шоколад с миндалем,"""Pavlidis""",Годен до апреля 2011,Вес - 100 г,Упаковка - конверт
125,f07844b0a7b306e33e62c0a3db5b8ccd8d86c05f07af10463ad2b8ce28e907d4.jpg,Молочный шоколад с фисташками,"""Ulker""  (название условное)",Годен до марта 2011,Вес - 80 г,Упаковка - конверт
126,f305f7445a6d3bd42682e0f733676dfec60505cc52d11555d7d92cdffededbd0.jpg,Молочный шоколад с алкогольной начинкой амаретто,"""Czapp de Luxe"" (название условное)",Годен до апреля 1998,Вес - 100 г,Упаковка - конверт
127,5715d98a2695cb358bc3b160faa431c20207e37cc1a1050919b529157672818d.jpg,Плитка кондитерская молочная с ореховым ароматом,"""Славянские традиции""",NaN,Вес - 20 г,Упаковка - конверт
128,a7a433623d7ccc57c8a2685a3955a4987c0ec9e6687f57b6a40124b4bf54e44c.jpg,Молочный шоколад с молочной начинкой,"""Mlecna krajina""",Годен до июня 2008,"Вес - 87,5 г",Упаковка - прямоугольная коробка
129,d561975afd59331805b270861979f0ce084e4c39782a84b773ed34f622fec772.jpg,Плитка кондитерская молочная с ореховым ароматом,"""Славянские традиции""",NaN,Вес - 20 г,Упаковка - конверт
130,7d7ce4ea8517affda3de025c51af2ee4a51c3bbde88ace3049190075e9ae7f2c.jpg,Молочный шоколад с фисташками,"""Ulker""  (название условное)",NaN,Вес - 80 г,Упаковка - конверт
131,1b3ab6668f963ca3065dcc7e6d9a0b0df071847e70ab2042e45726480d45bca5.jpg,Молочный шоколад с ананасово-кремовой начинкой,"""Czapp"" (название условное)",NaN,Вес - 100 г,Упаковка - конверт
132,464767a9c013564ba3c2edcb2d8ee293dd887f203c214f570fea32d43eb450ff.jpg,Плитка кондитерская молочная с ореховым ароматом,"""Славянские традиции""",NaN,Вес - 20 г,Упаковка - конверт
133,99135c6cefcf0ea6f9bdc52dba5b5dd38a2bd60fc74f70f6db151bbe454618ed.jpg,Молочный пористый шоколад,"""Figaro Sladka Vasen""",Годен до мая 2008,Вес - 100 г,Упаковка - прямоугольная коробка
134,2256a668f7f30ae969bd6e5a5e7ccd584401521fc9aaf3b37c8c795f2fbb4a7e.jpg,Молочный шоколад с фисташками,"""Ulker Golden""",Годен до марта 2011,Вес - 94 г,Упаковка - прямоугольная коробка
135,50cd00773a492a36f6a2768f7b40adfeb436a9c41429b4eea27645d6058dc959.jpg,Молочный шоколад с банановой начинкой,"""Czapp"" (название условное)",NaN,Вес - 100 г,Упаковка - конверт
136,0b9e872bd99f366cdfe9be929cb9c37b9ca9fa3e08c6a3f7c15370748273861c.jpg,Плитка кондитерская молочная с ореховым ароматом,"""Славянские традиции""",NaN,Вес - 20 г,Упаковка - конверт
137,24b9f05476195ca7f2c9545624e19c4b1298313c205ea3f460916fa28392cd5a.jpg,Молочный шоколад,"""A.E.K.""",Годен до февраля 2011,Вес - 70 г,Упаковка - флоу-пак
138,424110dce32e27610909a1cf9777defc01a5e09458aeff3288d1ef06f8b4ca68.jpg,Молочный шоколад с фисташками,"""Ulker""  (название условное)",NaN,Вес - 100 г,Упаковка - конверт
